week,Sub-Category,Region,units,sales,discount,profit,n_orders,unit_price,unit_cost,units_lag1,units_lag2,units_lag4,units_roll4_mean,units_roll4_std,week_of_year,month,quarter,reorder_point,inventory_level,order_quantity
2015-02-02,Accessories,Central,0.0,0.0,0.0,0.0,0.0,78.14999999999999,43.76399999999999,6.0,0.0,3.0,2.25,2.8722813232690143,6,2,1,11.2,6.8,0.0
2015-02-09,Accessories,Central,0.0,0.0,0.0,0.0,0.0,78.14999999999999,43.76399999999999,0.0,6.0,0.0,1.5,3.0,7,2,1,10.0,4.5,0.0
2015-02-16,Accessories,Central,3.0,62.31,0.0,22.4316,1.0,20.77,13.2928,0.0,0.0,0.0,1.5,3.0,8,2,1,10.0,4.5,0.0
2015-02-23,Accessories,Central,0.0,0.0,0.0,0.0,0.0,20.77,13.2928,3.0,0.0,6.0,2.25,2.8722813232690143,9,2,1,11.2,6.8,0.0
2015-03-02,Accessories,Central,0.0,0.0,0.0,0.0,0.0,20.77,13.2928,0.0,3.0,0.0,0.75,1.5,10,3,1,5.0,2.2,0.0
2015-03-09,Accessories,Central,0.0,0.0,0.0,0.0,0.0,20.77,13.2928,0.0,0.0,0.0,0.75,1.5,11,3,1,5.0,2.2,0.0
2015-03-16,Accessories,Central,0.0,0.0,0.0,0.0,0.0,20.77,13.2928,0.0,0.0,3.0,0.75,1.5,12,3,1,5.0,2.2,0.0
2015-03-23,Accessories,Central,0.0,0.0,0.0,0.0,0.0,20.77,13.2928,0.0,0.0,0.0,0.0,0.0,13,3,1,0.0,0.0,0.0
2015-03-30,Accessories,Central,2.0,79.984,0.2,13.9972,1.0,39.992,32.993399999999994,0.0,0.0,0.0,0.0,0.0,14,3,1,0.0,0.0,0.0
2015-04-06,Accessories,Central,0.0,0.0,0.0,0.0,0.0,39.992,32.993399999999994,2.0,0.0,0.0,0.5,1.0,15,4,2,3.3,1.5,0.0
2015-04-13,Accessories,Central,3.0,227.976,0.2,28.497,1.0,75.992,66.493,0.0,2.0,0.0,0.5,1.0,16,4,2,3.3,1.5,0.0
